"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"22:53:16,7110234","LEGOMarvel.exe","3244","CreateFile","F:\SteamLibrary\steamapps\common\LEGO Marvel Super Heroes\steamcompat.inf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a"
"22:53:16,9367428","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SysWOW64\pt-BR\tzres.dll.mui","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:16,9401324","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SysWOW64\pt-BR\tzres.dll.mui","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:17,3333551","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SysWOW64\pt-BR\DINPUT8.dll.mui","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:32,8177476","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Local\AMD\DX9Cache\30ff83bb3d3822a7.70d7b671ef34bb72.d1b2dbce.2e8b3bbc.1.parc","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a"
"22:53:32,8716889","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SystemResources\USER32.dll.mun","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:32,8717916","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SystemResources\USER32.dll.mun","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:33,0914960","LEGOMarvel.exe","3244","CreateFile","C:\Windows\SysWOW64\pt-BR\MMDevApi.dll.mui","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"22:53:33,3948335","LEGOMarvel.exe","3244","CreateFile","F:\DLC1.HDR","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,3949179","LEGOMarvel.exe","3244","CreateFile","F:\DLC1.DAT","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,3949981","LEGOMarvel.exe","3244","CreateFile","F:\DLC2.HDR","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,3950766","LEGOMarvel.exe","3244","CreateFile","F:\DLC2.DAT","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
